"","YearDecimal","Latitude30value","Latitude30uncertainty","Latitude33value","Latitude33uncertainty","Latitude37value","Latitude37uncertainty","Latitude41value","Latitude41uncertainty","Latitude44value","Latitude44uncertainty","Latitude49value","Latitude49uncertainty","Latitude53value","Latitude53uncertainty","Latitude58value","Latitude58uncertainty","Latitude64value","Latitude64uncertainty","Latitude72value","Latitude72uncertainty","Latitude90value","Latitude90uncertainty"
"476",1988.895833,352.873,0.285,353.307,0.273,353.736,0.239,354.16,0.216,354.566,0.223,354.93,0.24,355.233,0.241,355.472,0.235,355.65,0.248,355.778,0.285,355.871,0.325
"477",1988.916667,353.169,0.326,353.611,0.312,354.063,0.275,354.525,0.246,354.978,0.247,355.401,0.26,355.777,0.266,356.099,0.279,356.366,0.329,356.576,0.399,356.737,0.462
"478",1988.9375,353.445,0.333,353.892,0.32,354.368,0.291,354.868,0.278,355.371,0.296,355.852,0.316,356.293,0.322,356.689,0.343,357.031,0.413,357.311,0.507,357.529,0.589
"479",1988.958333,353.71,0.298,354.167,0.292,354.668,0.286,355.206,0.314,355.755,0.364,356.285,0.394,356.779,0.395,357.228,0.41,357.622,0.482,357.947,0.588,358.203,0.683
"480",1988.979167,353.903,0.222,354.281,0.216,354.699,0.213,355.17,0.233,355.695,0.264,356.262,0.283,356.848,0.301,357.423,0.366,357.949,0.489,358.392,0.623,358.738,0.73
"481",1989,354.033,0.095,354.391,0.087,354.801,0.101,355.278,0.137,355.818,0.18,356.397,0.22,356.979,0.271,357.529,0.365,358.016,0.494,358.416,0.624,358.724,0.726
"482",1989.020833,354.236,0.149,354.57,0.166,354.952,0.179,355.404,0.192,355.935,0.213,356.523,0.24,357.126,0.278,357.699,0.356,358.209,0.471,358.627,0.592,358.949,0.688
"483",1989.041667,354.248,0.165,354.541,0.173,354.903,0.182,355.362,0.201,355.923,0.23,356.554,0.258,357.196,0.284,357.796,0.336,358.318,0.429,358.74,0.535,359.064,0.623
"484",1989.0625,354.232,0.201,354.504,0.196,354.858,0.193,355.326,0.21,355.909,0.243,356.566,0.272,357.228,0.287,357.837,0.314,358.358,0.38,358.775,0.466,359.095,0.544
"485",1989.083333,354.278,0.226,354.535,0.213,354.885,0.198,355.357,0.211,355.949,0.247,356.611,0.277,357.272,0.285,357.871,0.293,358.377,0.332,358.779,0.399,359.089,0.466
"486",1989.104167,354.382,0.226,354.649,0.207,355.012,0.189,355.493,0.201,356.083,0.24,356.733,0.271,357.371,0.278,357.941,0.273,358.419,0.292,358.8,0.341,359.096,0.398
"487",1989.125,354.917,0.429,355.286,0.497,355.685,0.513,356.121,0.473,356.603,0.405,357.118,0.339,357.627,0.288,358.094,0.258,358.502,0.262,358.842,0.3,359.115,0.351
"488",1989.145833,355.171,0.414,355.594,0.478,356.042,0.49,356.508,0.448,356.989,0.381,357.47,0.318,357.925,0.272,358.333,0.242,358.688,0.241,358.986,0.27,359.231,0.312
"489",1989.166667,355.508,0.38,355.993,0.437,356.498,0.444,356.999,0.406,357.479,0.346,357.923,0.294,358.317,0.258,358.655,0.234,358.946,0.23,359.193,0.249,359.399,0.283
"490",1989.1875,355.894,0.343,356.436,0.39,356.995,0.395,357.53,0.361,358.013,0.313,358.425,0.278,358.759,0.256,359.027,0.238,359.248,0.23,359.435,0.237,359.594,0.258
"491",1989.208333,356.301,0.308,356.872,0.35,357.457,0.356,358.01,0.33,358.494,0.296,358.887,0.272,359.187,0.254,359.406,0.235,359.568,0.221,359.692,0.221,359.794,0.235
"492",1989.229167,356.705,0.275,357.274,0.309,357.854,0.315,358.4,0.299,358.872,0.285,359.245,0.281,359.513,0.273,359.688,0.253,359.799,0.228,359.87,0.212,359.925,0.213
"493",1989.25,357.071,0.246,357.611,0.271,358.16,0.276,358.684,0.279,359.146,0.29,359.513,0.308,359.763,0.308,359.904,0.281,359.965,0.238,359.981,0.203,359.982,0.189
"494",1989.270833,357.356,0.226,357.833,0.241,358.33,0.251,358.825,0.274,359.284,0.314,359.661,0.35,359.913,0.353,360.034,0.316,360.053,0.253,360.015,0.194,359.962,0.165
"495",1989.291667,357.542,0.211,357.934,0.221,358.363,0.239,358.824,0.286,359.286,0.353,359.686,0.404,359.958,0.408,360.075,0.358,360.066,0.273,359.985,0.188,359.887,0.142
"496",1989.3125,357.614,0.202,357.91,0.209,358.264,0.239,358.69,0.309,359.161,0.396,359.596,0.46,359.902,0.464,360.035,0.402,360.018,0.298,359.913,0.191,359.786,0.128
"497",1989.333333,357.553,0.205,357.751,0.215,358.033,0.25,358.431,0.333,358.916,0.435,359.395,0.507,359.75,0.511,359.921,0.44,359.923,0.321,359.822,0.197,359.69,0.125
"498",1989.354167,357.361,0.232,357.464,0.246,357.679,0.277,358.051,0.354,358.553,0.457,359.079,0.532,359.496,0.534,359.728,0.457,359.783,0.331,359.721,0.203,359.617,0.13
"499",1989.375,357.056,0.292,357.065,0.311,357.213,0.326,357.552,0.376,358.061,0.458,358.628,0.524,359.114,0.522,359.431,0.445,359.573,0.324,359.59,0.206,359.547,0.148
"500",1989.395833,356.72,0.285,356.663,0.322,356.746,0.349,357.027,0.388,357.496,0.444,358.058,0.485,358.584,0.473,358.985,0.4,359.237,0.297,359.365,0.21,359.416,0.179
"501",1989.416667,356.198,0.339,356.04,0.375,356.028,0.382,356.231,0.379,356.653,0.388,357.216,0.396,357.802,0.377,358.317,0.323,358.715,0.26,358.989,0.222,359.162,0.219
"502",1989.4375,355.589,0.375,355.312,0.404,355.173,0.394,355.255,0.354,355.583,0.309,356.108,0.275,356.733,0.246,357.359,0.226,357.914,0.227,358.352,0.243,358.667,0.259
"503",1989.458333,354.92,0.39,354.507,0.405,354.206,0.378,354.119,0.315,354.302,0.236,354.74,0.163,355.366,0.136,356.081,0.173,356.781,0.23,357.378,0.272,357.833,0.292
"504",1989.479167,354.197,0.38,353.637,0.375,353.149,0.334,352.853,0.273,352.84,0.213,353.142,0.181,353.72,0.193,354.479,0.234,355.289,0.275,356.02,0.302,356.595,0.313
"505",1989.5,353.427,0.352,352.72,0.324,352.032,0.277,351.503,0.25,351.26,0.266,351.378,0.305,351.854,0.335,352.601,0.345,353.464,0.338,354.281,0.327,354.94,0.321
"506",1989.520833,352.623,0.32,351.781,0.279,350.902,0.242,350.139,0.271,349.652,0.355,349.558,0.434,349.886,0.469,350.56,0.452,351.415,0.4,352.259,0.348,352.957,0.324
"507",1989.541667,351.795,0.298,350.782,0.275,349.665,0.326,348.631,0.463,347.887,0.611,347.594,0.703,347.797,0.704,348.411,0.619,349.251,0.486,350.106,0.369,350.821,0.322
"508",1989.5625,350.971,0.291,349.868,0.284,348.621,0.374,347.417,0.542,346.482,0.706,345.996,0.799,346.025,0.788,346.497,0.68,347.229,0.522,348.01,0.385,348.677,0.333
"509",1989.583333,350.205,0.344,349.063,0.345,347.752,0.431,346.451,0.589,345.385,0.745,344.745,0.832,344.609,0.812,344.917,0.695,345.504,0.531,346.169,0.396,346.751,0.348
"510",1989.604167,349.566,0.426,348.438,0.422,347.13,0.476,345.805,0.599,344.677,0.73,343.934,0.803,343.659,0.777,343.808,0.663,344.235,0.511,344.761,0.394,345.237,0.36
"511",1989.625,349.098,0.506,348.037,0.49,346.796,0.502,345.521,0.571,344.403,0.663,343.616,0.714,343.242,0.686,343.25,0.586,343.522,0.462,343.904,0.374,344.264,0.358
"512",1989.645833,348.842,0.555,347.896,0.532,346.781,0.506,345.619,0.513,344.576,0.552,343.802,0.576,343.373,0.548,343.27,0.472,343.402,0.386,343.645,0.337,343.89,0.337
"513",1989.666667,348.824,0.566,348.034,0.54,347.091,0.488,346.094,0.438,345.179,0.413,344.468,0.401,344.025,0.375,343.841,0.331,343.852,0.293,343.968,0.284,344.103,0.3
"514",1989.6875,349.048,0.531,348.442,0.513,347.701,0.455,346.901,0.372,346.148,0.288,345.534,0.226,345.108,0.191,344.869,0.182,344.78,0.197,344.782,0.224,344.816,0.249
